Timestamp,Gesture,Confidence,Action,Slide Number
2026-06-20 23:31:57,LIKE,90.09%,Started,1
2026-06-20 23:32:04,PEACE,95.72%,Stopped,1
2026-06-20 23:32:09,LIKE,95.50%,Started,1
2026-06-20 23:32:16,FIST,83.19%,Prev Slide,1
2026-06-20 23:32:40,PEACE,91.36%,Stopped,1
2026-06-20 23:32:47,LIKE,96.07%,Started,1
2026-06-20 23:33:08,PEACE,99.68%,Stopped,1
2026-06-20 23:33:10,LIKE,74.48%,Started,1
2026-06-20 23:33:14,FIST,95.48%,Prev Slide,1
2026-06-20 23:33:30,PEACE,98.91%,Stopped,1
2026-06-20 23:33:32,LIKE,78.63%,Started,1
2026-06-20 23:33:40,STOP,78.13%,Paused,1
2026-06-20 23:34:05,LIKE,82.03%,Next Slide,2
2026-06-20 23:34:07,FIST,75.09%,Prev Slide,1
2026-06-20 23:34:24,LIKE,96.21%,Next Slide,2
2026-06-20 23:34:33,STOP,76.59%,Paused,2
2026-06-20 23:34:37,LIKE,81.52%,Next Slide,3
2026-06-20 23:35:04,PEACE,72.25%,Stopped,3
2026-06-20 23:35:13,LIKE,75.52%,Started,3
2026-06-20 23:35:16,PEACE,97.23%,Stopped,3
