Timestamp,Gesture,Confidence,Action,Slide Number
2026-06-22 21:22:02,LIKE,73.43%,Started,1
2026-06-22 21:22:20,FIST,86.81%,Prev Slide,1
2026-06-22 21:22:32,PEACE,77.14%,Stopped,1
2026-06-22 21:22:44,LIKE,93.08%,Started,1
2026-06-22 21:22:51,LIKE,91.48%,Next Slide,2
2026-06-22 21:22:53,LIKE,95.74%,Next Slide,3
2026-06-22 21:22:59,FIST,81.29%,Prev Slide,2
2026-06-22 21:23:09,LIKE,89.18%,Next Slide,3
2026-06-22 21:23:11,LIKE,97.30%,Next Slide,4
2026-06-22 21:23:14,LIKE,88.43%,Next Slide,5
2026-06-22 21:23:16,FIST,84.99%,Prev Slide,4
2026-06-22 21:23:18,FIST,95.01%,Prev Slide,3
2026-06-22 21:23:20,FIST,90.10%,Prev Slide,2
2026-06-22 21:23:22,FIST,95.23%,Prev Slide,1
2026-06-22 21:23:24,STOP,70.03%,Paused,1
2026-06-22 21:23:28,STOP,74.19%,Paused,1
2026-06-22 21:23:35,STOP,70.44%,Paused,1
2026-06-22 21:23:37,STOP,96.00%,Paused,1
2026-06-22 21:23:46,STOP,72.17%,Paused,1
2026-06-22 21:23:48,LIKE,86.12%,Started,1
2026-06-22 21:23:52,LIKE,98.46%,Next Slide,2
2026-06-22 21:23:54,LIKE,96.18%,Next Slide,3
2026-06-22 21:23:57,FIST,97.81%,Prev Slide,2
2026-06-22 21:23:59,FIST,93.17%,Prev Slide,1
2026-06-22 21:24:02,STOP,77.21%,Paused,1
2026-06-22 21:24:09,PEACE,96.80%,Stopped,1
2026-06-22 21:24:14,LIKE,78.90%,Started,1
2026-06-22 21:24:19,PEACE,79.04%,Stopped,1
2026-06-22 21:24:42,LIKE,83.22%,Started,1
2026-06-22 21:24:45,LIKE,96.49%,Next Slide,2
2026-06-22 21:24:48,LIKE,93.82%,Next Slide,3
2026-06-22 21:24:50,FIST,86.99%,Prev Slide,2
2026-06-22 21:24:51,FIST,87.88%,Prev Slide,1
2026-06-22 21:24:54,STOP,74.70%,Paused,1
2026-06-22 21:24:58,PEACE,83.84%,Stopped,1
