Timestamp,Gesture,Confidence,Action,Slide Number
2026-06-20 23:36:35,LIKE,95.31%,Started,1
2026-06-20 23:36:58,PEACE,72.52%,Stopped,1
2026-06-20 23:37:03,LIKE,95.32%,Started,1
2026-06-20 23:37:06,PEACE,98.04%,Stopped,1
2026-06-20 23:37:09,LIKE,75.31%,Started,1
2026-06-20 23:37:16,PEACE,72.07%,Stopped,1
2026-06-20 23:37:19,LIKE,88.33%,Started,1
2026-06-20 23:37:22,PEACE,79.28%,Stopped,1
2026-06-20 23:38:01,FIST,82.77%,Prev Slide,1
2026-06-20 23:38:17,PEACE,94.91%,Stopped,1
2026-06-20 23:39:25,LIKE,71.90%,Started,1
