Timestamp,Gesture,Confidence,Action,Slide Number
2026-06-20 23:05:45,LIKE,87.98%,Started,1
2026-06-20 23:06:04,FIST,71.57%,Prev Slide,1
2026-06-20 23:06:25,LIKE,84.08%,Next Slide,2
2026-06-20 23:06:47,STOP,80.96%,Paused,2
2026-06-20 23:06:50,LIKE,94.65%,Started,2
2026-06-20 23:07:20,FIST,96.19%,Prev Slide,1
2026-06-20 23:07:43,STOP,91.81%,Paused,1
2026-06-20 23:08:03,LIKE,96.21%,Started,1
2026-06-20 23:08:08,FIST,76.65%,Prev Slide,1
2026-06-20 23:08:33,STOP,99.22%,Paused,1
2026-06-20 23:08:52,LIKE,71.00%,Started,1
2026-06-20 23:09:09,FIST,70.92%,Prev Slide,1
